f,sens,var.sens,species,matDim,PC1,PC2,habitat
0.35,0.003410556,3.59E-08,Primula_elatior,5,0.128575263,-0.029694512,Temperate
0.65,0.003357454,4.19E-08,Primula_elatior,5,0.128575263,-0.029694512,Temperate
0.35,0.000292088,3.08E-07,Eryngium_cuneifolium,6,-0.767366696,0.770722074,Temperate
0.65,-0.000272648,2.00E-07,Eryngium_cuneifolium,6,-0.767366696,0.770722074,Temperate
0.35,-0.000789241,1.85E-08,Agrimonia_eupatoria,4,0.553675377,-0.80361761,Temperate
0.65,-0.00066791,1.70E-08,Agrimonia_eupatoria,4,0.553675377,-0.80361761,Temperate
0.35,-0.00073004,1.70E-08,Coryphantha_robbinsorum,4,0.178925358,1.428813281,Arid
0.65,-0.000570415,1.34E-08,Coryphantha_robbinsorum,4,0.178925358,1.428813281,Arid
0.35,-0.000481495,7.36E-09,Petrocoptis_pseudoviscosa_2,6,-0.10748087,0.530428415,Temperate
0.65,-0.000517177,6.81E-09,Petrocoptis_pseudoviscosa_2,6,-0.10748087,0.530428415,Temperate
0.35,4.21E-05,8.36E-10,Papio_cynocephalus,8,0.304204516,-0.700522499,Tropical & Subtropical
0.65,4.06E-05,9.02E-10,Papio_cynocephalus,8,0.304204516,-0.700522499,Tropical & Subtropical
0.35,0.000947719,2.86E-09,Oenothera_deltoides,4,-0.629859417,-0.998825781,Arid
0.65,0.001306193,3.07E-09,Oenothera_deltoides,4,-0.629859417,-0.998825781,Arid
0.35,0.00048299,1.22E-08,Ardisia_elliptica,8,0.774118042,1.902304874,Tropical & Subtropical
0.65,0.000398673,8.15E-09,Ardisia_elliptica,8,0.774118042,1.902304874,Tropical & Subtropical
0.35,0.024150248,1.30E-06,Lotus_arinagensis,4,-1.150231169,-0.277415782,Temperate
0.65,0.020665231,1.09E-06,Lotus_arinagensis,4,-1.150231169,-0.277415782,Temperate
0.35,0.000643639,3.13E-09,Mammillaria_napina,7,0.293376271,0.155070468,Arid
0.65,0.000787076,3.14E-09,Mammillaria_napina,7,0.293376271,0.155070468,Arid
0.35,1.57E-06,6.36E-11,Taxus_floridana,9,1.067559356,-1.004223454,Temperate
0.65,4.07E-06,3.08E-11,Taxus_floridana,9,1.067559356,-1.004223454,Temperate
0.35,0.008839015,3.91E-07,Eryngium_alpinum,4,-0.218675843,0.284501798,Temperate
0.65,0.00808202,3.56E-07,Eryngium_alpinum,4,-0.218675843,0.284501798,Temperate
0.35,-0.000317246,1.64E-09,Propithecus_verreauxi,8,0.28861787,-1.01335301,Arid
0.65,-0.000248321,1.45E-09,Propithecus_verreauxi,8,0.28861787,-1.01335301,Arid
0.35,0.324313718,3.91E-05,Cleistes_divaricata_var._bifaria,5,-0.891864648,-1.021173673,Temperate
0.65,0.291179522,2.88E-05,Cleistes_divaricata_var._bifaria,5,-0.891864648,-1.021173673,Temperate
0.35,0.012215383,1.31E-06,Cleistes_divaricata_var._divaricata,5,-0.568859141,-0.828907314,Temperate
0.65,0.012700693,1.77E-06,Cleistes_divaricata_var._divaricata,5,-0.568859141,-0.828907314,Temperate
0.35,0.002455361,1.02E-08,Phyllanthus_indofischeri,7,0.884792419,1.213167527,Tropical & Subtropical
0.65,0.002145452,1.17E-08,Phyllanthus_indofischeri,7,0.884792419,1.213167527,Tropical & Subtropical
0.35,-0.061922551,3.37E-06,Mimulus_cardinalis,4,-1.639203948,2.433766557,Temperate
0.65,-0.048890929,2.06E-06,Mimulus_cardinalis,4,-1.639203948,2.433766557,Temperate
0.35,-0.005679338,1.36E-07,Xenosaurus_grandis,4,-0.678515617,-0.160134455,Tropical & Subtropical
0.65,-0.005800349,1.59E-07,Xenosaurus_grandis,4,-0.678515617,-0.160134455,Tropical & Subtropical
0.35,0.003286365,2.38E-08,Geum_rivale,5,0.324609212,-0.436365932,Temperate
0.65,0.003230941,1.84E-08,Geum_rivale,5,0.324609212,-0.436365932,Temperate
0.35,-0.000745385,2.21E-08,Limonium_geronense,4,-0.335406021,-0.578485643,Temperate
0.65,-0.001016542,2.47E-08,Limonium_geronense,4,-0.335406021,-0.578485643,Temperate
0.35,0.000728992,8.70E-09,Erodium_paularense,4,-0.162651076,-0.89728987,Temperate
0.65,0.00107689,7.52E-09,Erodium_paularense,4,-0.162651076,-0.89728987,Temperate
0.35,0.012183532,2.72E-07,Mimulus_lewisii,4,-1.494494852,2.63745051,Temperate
0.65,0.011953322,2.41E-07,Mimulus_lewisii,4,-1.494494852,2.63745051,Temperate
0.35,-0.003589928,2.05E-06,Arabis_fecunda,4,-0.848548759,0.041395607,Temperate
0.65,-0.001123072,1.70E-06,Arabis_fecunda,4,-0.848548759,0.041395607,Temperate
0.35,-0.011793775,1.33E-06,Atriplex_acanthocarpa,5,-0.927355802,-0.025233172,Arid
0.65,-0.001980045,7.54E-07,Atriplex_acanthocarpa,5,-0.927355802,-0.025233172,Arid
0.35,0.051921988,1.03E-06,Atriplex_canescens,5,-0.51687307,-0.033712318,Arid
0.65,0.03824047,6.45E-07,Atriplex_canescens,5,-0.51687307,-0.033712318,Arid
0.35,-0.000516581,1.30E-07,Astragalus_peckii,5,-1.03333716,-0.0829108,Arid
0.65,-0.000910849,1.33E-07,Astragalus_peckii,5,-1.03333716,-0.0829108,Arid
0.35,0.001011329,3.02E-08,Sapium_sebiferum,12,0.739505969,1.573382196,Temperate
0.65,0.000534227,3.07E-08,Sapium_sebiferum,12,0.739505969,1.573382196,Temperate
0.35,-0.005981588,5.40E-08,Helianthemum_polygonoides,4,-0.713991387,0.253955801,Temperate
0.65,-0.00506628,7.67E-08,Helianthemum_polygonoides,4,-0.713991387,0.253955801,Temperate
0.35,0.011572683,1.25E-07,Antirrhinum_lopesianum,4,-0.265500495,-0.928539075,Temperate
0.65,0.010406063,1.39E-07,Antirrhinum_lopesianum,4,-0.265500495,-0.928539075,Temperate
0.35,0.003277865,7.35E-08,Rumex_rupestris,4,-0.703998559,-1.33056086,Temperate
0.65,0.003026509,4.82E-08,Rumex_rupestris,4,-0.703998559,-1.33056086,Temperate
0.35,-0.000198859,2.23E-09,Castanea_dentata,8,1.264748308,-0.750832741,Temperate
0.65,-0.000149557,2.65E-09,Castanea_dentata,8,1.264748308,-0.750832741,Temperate
0.35,0.009267197,4.42E-07,Cytisus_scoparius,7,-0.577311565,1.799579239,Temperate
