habitat,SpeciesAuthor
Temperate,Aeschynomene_virginica
Temperate,Brassica_napus_2
Temperate,Collinsia_verna
Temperate,Carduus_nutans_3
Temperate,Cirsium_vulgare_3
Temperate,Ipomopsis_tenuituba
Temperate,Lithospermum_ruderale
Temperate,Solidago_altissima
Arid,Ariocarpus_scaphirostris
Temperate,Pinus_lambertiana_2
Aquatic,Acipenser_fulvescens
Aquatic,Catostomus_platyrhynchus_2
Aquatic,Cottus_sp._3
Aquatic,Erimyzon_sucetta_2
Aquatic,Hybognathus_argyritis_2
Aquatic,Macrhybopsis_storeriana
Aquatic,Micropterus_dolomieu_3
Aquatic,Neogobius_melanostomus_3
Aquatic,Notropis_photogenis
Aquatic,Oncorhynchus_clarkii_subsp._lewisi_2
Aquatic,Oncorhynchus_kisutch_2
Aquatic,Opsopoeodus_emiliae
Aquatic,Pimephales_promelas_3
Aquatic,Salvelinus_malma
Aquatic,Leptogorgia_virgulata
Temperate,Platynothrus_peltifer
Temperate,Amphispiza_belli_subsp._belli
Temperate,Chen_caerulescens
Arid,Gyps_coprotheres
Arid,Milvus_migrans
Aquatic,Yoldia_notabilis
Temperate,Daphnia_pulex_3
Aquatic,Spongia_graminea
Aquatic,Haliotis_rufescens
Aquatic,Haliotis_sorenseni
Temperate,Helix_aspersa
Temperate,Homo_sapiens_subsp._sapiens
Aquatic,Palaemonetes_pugio_2
Tropical & Subtropical,Bos_gaurus
Temperate,Canis_lupus_subsp._familiaris
Aquatic,Enhydra_lutris_2
Aquatic,Mirounga_leonina_3
Aquatic,Phocarctos_hookeri_2
Aquatic,Ziphiidae_sp.
Aquatic,Alligator_mississippiensis
Aquatic,Caiman_crocodilus
Temperate,Chrysemys_picta
