species,T,La,S,Ro,muF
Alaria_nana,2.454381627,2.997633846,0.574285905,2.839132717,4.835716887
Ascophyllum_nodosum_3,8.924421934,2.90483447,0.985102883,0.671884481,1.396033347
Pterygophora_californica,5.313688312,5,18.10298157,931290104.6,1228155879
Aeschynomene_virginica,1.046826623,1,0,0.449932411,1.188962676
Brassica_napus_2,1.046754404,2,0,307.4748027,619.3460001
Collinsia_verna,1.273397632,1,0,0.650174166,4.819
Catopsis_compacta,14.30043598,11.70524148,0.799218167,1.942962253,3.56
Catopsis_sessiliflora,19.81659812,8.815290987,0.023014685,0.020087945,4.429
Guarianthe_aurantiaca,41.45123823,8.833181202,0.278172249,0.578099434,0.07056683
Jacquiniella_leucomelana,5.601145942,3.490675722,0.77727949,0.598557998,0.643666667
Jacquiniella_teretifolia,16.41245404,11.0637571,0.707099219,0.715265008,1.754666667
Lepanthes_eltoroensis,128.9566004,7.155146909,2.09E-06,4.46E-07,0.204
Lepanthes_rubripetala,39.72615309,1,2.56E-08,2.11E-08,1.092
Lycaste_aromatica,47.13343444,7.247674896,0.100257467,0.084461718,0.055
Tillandsia_deppeana,10.36024247,7.413790274,0.220877068,0.180601654,49.444
Tillandsia_juncea,21.7014974,8.741714004,0.410669702,1.232177585,6.714
Tillandsia_multicaulis_2,15.02805088,8.532463732,0.344334379,0.313153807,1.457748996
Tillandsia_recurvata,11.1737711,2.882845188,1.186985587,4.072551689,0.514466424
Tillandsia_violacea,28.38630476,13.79928753,0.147563751,0.244251482,0.209562187
Vulpicida_pinastri,38.38066645,2,2.009203041,3.892048135,0.205280814
Werauhia_sanguinolenta,16.20954626,12.16186792,0.855850699,5.353587385,19.4
Asplenium_adulterinum,22.02592233,5.101661816,0.907907554,2.566266649,0.1871385
Asplenium_cuneifolium,31.2329866,6.034224414,0.89437724,7.347911755,0.20483375
Actaea_elata,13.39104173,6.59443616,0.171503048,0.246091964,0.4055
Actaea_spicata,17.18264539,6.451270223,3.590117921,0.6698317,106.8166667
Agrimonia_eupatoria,42.2105813,7.387954107,0.165780382,0.932411811,0.2185
Agropyron_cristatum,7.463890039,2,5.891327101,6176.316547,197.297824
Anemone_patens,5.583872592,2.113131027,1.13683385,1.108451502,0.203734761
Anthyllis_vulneraria_subsp._alpicola,12.34525079,2.102839813,0.988078493,1.093043301,0.329596322
Antirrhinum_lopesianum,14.89241527,3.42994395,0.243312129,0.254430448,0.159770263
Aquilegia_chrysantha,6.081279138,3.918066742,2.508066596,0.369331109,42.5151
Arabis_fecunda,3.216239217,3.753969959,0.660720664,3.306534905,3.130076449
Arisaema_serratum,14.39937621,8.400604708,0.467339252,0.838730232,6.322231728
Armeria_maritima,11.78768021,4.597444089,0.999978432,85.20700477,37.23622286
Armeria_merinoi,6.709729105,2.784539218,0.314581547,0.197138152,0.197189622
Artemisia_genipi,14.26713264,5.417083069,1.305829858,1.668566733,0.56690504
Asclepias_meadii,20.92614673,8.383499233,0.034579425,0.048380855,0.39995
Astragalus_michauxii,6.807016593,1,0.445846815,0.76494193,0.128823519
Astragalus_peckii,5.122451049,2,0.127832511,1.945849339,30.16492526
Astragalus_scaphoides_2,6.519446798,4.856136819,0.54398364,2.250902368,1.631000337
Astragalus_tremolsianus,25.41877799,3.324230847,0.470266323,1.360943792,0.118924146
Astragalus_tyghensis,8.06665294,2,0.689814818,1.090243203,0.689613424
Borderea_chouardii,101.2852259,8.694694195,0.218493978,1.204250789,0.258761491
Bothriochloa_ischaemum,8.313600542,3.873238733,0.431600994,0.170467062,1.222717721
Braya_fernaldii,10.7338099,7.127659574,5.821033305,0.097127168,132.7956514
Braya_longii,11.30346771,7.040816327,5.753053558,0.40587968,206.8315422
Calathea_micans,32.391167,4,0.453484315,122.9996053,0.58483296
Calathea_ovandensis,19.51961951,2.011122346,0.47288884,0.756026174,9.501988654
Calochortus_albus,7.093567997,2.98019802,0.300569273,21.5778392,2.262069191
Calochortus_lyallii,16.24160948,9.094714859,0.54401027,0.969226712,0.818220589
Calochortus_macrocarpus,19.12158749,10.05473278,0.159004269,0.24754628,0.909504116
Calochortus_pulchellus,16.22429238,2.98019802,1.119751277,5.845977011,2.672035888
Carex_bigelowii,3.965950658,3.96442006,0,0.033765745,0.069267309
Carlina_vulgaris_2,3.191205408,4.92202558,0.021503959,12.1116224,23.14342069
Centaurea_horrida,37.01762793,4.481053673,0.806545484,1.27660071,0.119951508
Centaurea_stoebe_2,4.393701493,2.207350639,0.028585526,0.004603767,0.2
Cimicifuga_elata,8.180199118,5.834954733,0.692911972,3.229210151,2.9288
Cimicifuga_rubifolia,12.03069314,2.554001554,0.689311713,0.691289427,0.081555844
Cirsium_palustre,3.592645764,3.639456931,0.734604035,3.843646799,144.951939
Cirsium_perplexans,4.552784461,3.751313485,0.156559193,0.357093192,26.85
Cirsium_pitcheri_8,5.204986017,4.935827219,0.213452212,0.586809974,2.9018
Cirsium_scariosum,8.2993657,5.703703704,0,0.164902604,19.46
Cirsium_undulatum_var._tracyi,5.207659329,6.566210046,2.713275606,7.96426195,40.06
Cirsium_vulgare,2.744095245,2.485522292,6.76208296,1.610049239,147.22745
Cirsium_vulgare_3,4,3,0,0.217804693,2128
Cleistes_divaricata_var._bifaria,5.030476359,2.818202569,0.139922718,0.034022304,0.5125
Cleistes_divaricata_var._divaricata,6.410066197,4.121695305,0.18761678,0.136155893,0.503333333
Cochlearia_bavarica,7.403509441,4.419809902,0.219734688,0.092174105,14
Cochlearia_pyrenaica,5.343115575,3.760757552,0.107275814,0.542425718,24
Cryptantha_flava,6.3447422,2,0.623169241,0.490482484,0.24989014
Cynoglossum_officinale,3.571439454,3,0.134892582,2.1346875,297
Cypripedium_calceolus,264.9026078,4.458503022,18.22438197,0.192317659,10185.90162
Cypripedium_fasciculatum,18.85062993,6.636023436,0.432039328,1.081824579,0.35
Cypripedium_parviflorum_var._parviflorum,47.18884763,10.55078206,5.82E-07,0.000212972,4601.824594
Dactylorhiza_lapponica_2,13.24910665,5.058134545,0.148437602,4.045281872,227
Danthonia_sericea,15.45273632,2.165501166,1.569391238,2.696790299,1.570521997
Daucus_carota,3.334988978,3.277887002,1.181360299,1.195253141,243
Dicerandra_frutescens,8.386405944,2.882009948,7.159001067,0.326073319,77.53294059
Digitalis_purpurea_2,8.18597684,4.013414749,0,0.119545441,17468.142
Dipsacus_sylvestris_2,4.957940728,3.649744943,0.647739609,1.280483117,314.029625
Disporum_sessile,8.048804531,2.390820584,1.071486327,1.504371381,0.911969209
Draba_asterophora,14.58174033,2,0.905622298,0.707397622,0.100047635
Echinacea_angustifolia_2,26.30450816,5.383791028,0.744916358,1.903635432,0.210042274
Echium_vulgare,3.431448812,3.3894081,0.025373289,0.304686398,121.716
Erodium_paularense,32.16791148,2,0.53144373,0.553154475,0.054846717
Eryngium_alpinum,12.34881328,5.350367593,0.942181973,1.815942538,21.67611746
Eryngium_cuneifolium,8.387446304,3.063923633,2.095109581,0.448245972,240.9216085
Erythronium_japonicum_2,32.21974573,12.99750779,2.200519463,5.119387258,23.7695252
Fritillaria_meleagris,15.55737823,5.167585632,1.097036485,1.322527486,0.407798658
Gentianella_campestris,2.218741748,2,0,0.653804224,636.6193798
Geum_rivale,22.84100546,8.376619268,0.240145372,1.387043197,1.392833333
Helenium_virginicum,23.71612052,3.337731531,0,13.08334637,1025.0075
Helianthemum_polygonoides,9.840778929,2.680672269,0.761808484,0.628131924,96.50878207
Heliconia_acuminata,51.57937537,2.025641026,0.501240979,1.94737445,0.034390821
Heracleum_mantegazzianum,6.95178186,4.970683226,0.170902873,0.266781736,1.85
Hilaria_mutica,6.782116712,2.233273725,0.764952595,0.829755851,1.068759247
Himantoglossum_hircinum,6.396211709,7.496506182,7.867393701,5.919792021,1000
Horkelia_congesta,14.02192488,4.831004112,0.638964971,1.042789006,0.290244289
Ipomoea_leptophylla,6.615772822,4.333333333,0.499323155,24.63235777,2.270568738
Ipomopsis_aggregata,3.190099675,2,0.065198663,0.082040341,6.92690392
Ipomopsis_tenuituba,7.64127034,5,0.228928988,3.173786335,12.27581182
Isatis_tinctoria,4,3,6.526359753,2.229768,496
Lactuca_virosa,4,3,0,0.9984,16000
Lathyrus_vernus,23.79608301,8.603042918,0.276601193,1.11115186,0.968421175
Lepanthes_rupestris_2,2.973209578,2.761664041,0.025749354,0.170390408,4.293147624
Lespedeza_virginica,3.295451219,1,5.067020431,7.395075,21.83572122
Liatris_scariosa,4.442193896,4.63601134,0.573078984,3.954289932,12.10699695
Limonium_carolinianum,17.53128403,3.766784452,3.064637628,1.145996144,3055.643404
Limonium_delicatulum,5.568847159,3,0,4.661514678,482.1075707
Limonium_geronense,10.70833789,3.88731253,0.513617181,0.589910354,0.30855014
Limonium_malacitanum,13.10780305,3.001328186,0.181054994,0.066626632,0.144249088
Linum_catharticum,1.705120575,2,0,6.015129104,20.75634806
Lithospermum_ruderale,24.66687497,3.991764175,0.397167501,1.717821999,6.932272586
Lobularia_maritima,4.431623238,2.106410111,10.27578754,0.07422687,93.84196131
Lomatium_bradshawii,7.547563876,2.701677193,0.574475142,0.6070447,0.573942202
Lomatium_cookii,9.249650791,5.964035431,1.088078131,1.21360736,2.320594335
Lotus_arinagensis,3.490786905,2,0.278464329,1.167780978,4.128315946
Lupinus_tidestromii,6.357405645,2,0.312719363,0.708951059,0.537814714
Mimulus_cardinalis,4.461196707,1,9.443860992,4.039887095,17179.45709
Mimulus_lewisii,7.124929691,1,15.65250322,1.490333804,16108.41807
Minuartia_obtusiloba,169.3130242,3,0,0.997674693,0.087999179
Molinia_caerulea,12.36391107,3.346977338,2.045674883,1894.300514,7.412112403
Nardostachys_grandiflora,11.91104277,2.658215518,0.870174713,5.407642401,0.451534502
Oenothera_deltoides,13.07652999,2,0,0.140255767,0.681289708
Orchis_purpurea,31.5663959,5.98329841,11.27559834,2.729530407,193.9108552
Oxytropis_jabalambrensis,3.002648819,2.16813555,0.023447959,6.526224146,4.817431369
Panax_quinquefolius_2,18.02210188,3.177444488,2.351013699,2.639980499,10.62634328
Panax_quinquefolius_3,9.766692139,2.909973331,2.781148116,1.718188729,4.325396235
Paronychia_pulvinata,183.675996,3.002506266,0,0.999237182,0.037576188
Pedicularis_furbishiae,10.16752757,4.860304632,0.412744795,11.77904228,5.217166539
Petrocoptis_pseudoviscosa_2,48.54531964,2,3.780348645,1.484730118,2.591665027
Phaseolus_lunatus,3.958706257,2,0.003820541,0.35096289,5.198044381
Picris_hieracioides,4.08958833,3.678714859,0.083852968,0.605782548,275
Plantago_media,40.38978917,7.664991417,0.018782112,0.080982738,1.2575
Polemonium_van-bruntiae,4.792614112,4.913519387,2.128694058,19.41445366,104.92
Primula_elatior,25.63215883,5.097205538,0.889235869,2.540111911,2.252687304
Primula_farinosa,14.41499609,6.890740152,0.355829268,1.177563058,0.675444444
Primula_veris_2,14.88506689,7.145653896,0.094391211,2.885227697,24.68656671
Primula_vulgaris,11.58676048,3.035700731,0.586403311,17.31494963,1.783693465
Primula_vulgaris_3,8.374292883,3.357894528,0.519890973,0.46478029,1.958
Pyrrocoma_radiata,5.62397125,3.867869262,0.52534022,5.161211658,6.3536
Ramonda_myconi,41.72191929,7.683440122,0.846755843,1.804199361,0.360692178
Ranunculus_bulbosus,4.112527997,2,0.519661449,5.158465926,9.92
Rumex_rupestris,8.151249441,2.557291587,0.061807446,0.027407897,0.106384294
Sanicula_europaea,19.25632892,6.369265487,0.071257844,0.113585283,0.762
Santolina_melidensis,14.55797335,4.295684114,0.139210129,0.145882641,0.142541541
Sarracenia_purpurea,58.97058112,24.73420147,0.17001752,1.519089812,4
Saussurea_medusa,6.574122496,7.025547019,0.521592042,1.898667421,13.8397611
Scorzonera_humilis,68.86435652,2,0.242904275,0.094037748,0.121101669
Senecio_jacobaea,2.805822069,2.938566466,0.394472818,0.931303635,3.8125
Senecio_jacobaea_2,7.284407939,8.868131868,4.256877071,10.01573033,11.5663
Silene_acaulis,88.31261118,8.999664016,0.639143505,57.71309644,0.229120075
Silene_douglasii_var._oraria,53.6329811,4.10828827,0.034708389,0.119148153,0.16
Silene_regia,7.39430301,3.259730103,0.117475608,18.4771485,8.282943528
Silene_spaldingii,13.10677253,4.525116969,0.047018382,1.794733873,0.492071667
Solidago_altissima,919.9772142,1,0.000518124,0.165910937,12720.2468
Sonchus_pustulatus,21.05753581,4.653875267,0.386163849,0.121097835,0.057801543
Succisa_pratensis_3,12.79743861,5.925987985,3.07509167,0.113609718,30.64325067
Tragopogon_pratensis,3.159332988,3.152871308,0,0.774485899,7.243388571
Trillium_apetalon,10.31313368,4.475118351,0,4.83E-06,0.412
Trillium_camschatcense,224.5578757,9.155768208,0.122427803,13.56992524,2.706
Trillium_grandiflorum_3,21.16351418,10.6047359,0.603935334,1.236450953,11.96465472
Trillium_persistens,8.814521554,6.043839758,0.606694587,1.522548795,1.8065
Trollius_laxus_2,59.52737886,2,0.052302336,0.011381858,0.003098143
Viola_elatior,6.096028319,4.000091201,0.436645193,0.399040839,1.334377949
Viola_pumila,7.544963863,4.387882734,0.178459244,0.237367754,1.330890622
Zea_diploperennis,12.10819446,3.040816327,2.674598029,0.039217945,50.19541021
Alyxia_stellata,11.43665019,4.64268737,0.260731457,0.178309289,0.920450222
Astrocaryum_mexicanum,1060.770502,32.90886543,0.083485809,0.177182401,25.97433227
Borassus_aethiopum,95.29005425,91.14648318,0.222618512,2.321240818,68
Chamaedorea_elegans,13.89101099,7.760220847,0.927462295,0.936557937,6.488265983
Chamaedorea_radicalis,21.10056487,6.13750653,1.520919288,17.24062969,2.355207964
Coccothrinax_readii,85.91070476,95.7960373,0.464733431,98.33286713,55.8
Dioon_caputoi,166.5295776,48.01757899,1.832737314,5.224273777,0.204071999
Dioon_sonorense,57.85844128,12.67816543,0.612977618,215.4530295,5.1
Dioon_spinulosum,225.1823672,255.6568985,0.323484575,746.9149739,19.3955
Encephalartos_cycadifolius,110.6415158,32.73450869,1.971179356,28.49878337,1.487283406
Encephalartos_villosus,82.98833309,22.30138707,0.8023476,44.5438172,0.623197524
Eremospatha_macrocarpa,36.53830559,7.331929171,0.069226889,0.038936699,0.4418
Euterpe_edulis,34.87249736,23.22077696,2.158430354,3006.754438,98
Euterpe_precatoria_2,73.51867428,20.277353,0.287549477,1.312877694,0.125
Geonoma_brevispatha,14.97075763,4.184713376,1.57328103,1.797830252,0.2600134
Geonoma_orbignyana,44.21421966,30.48500055,1.058639847,15.15780222,4.965480827
Iriartea_deltoidea,53.50101358,25.26604661,1.102889515,1.029225931,0.781692184
Laccosperma_secundiflorum,37.73879041,22.57493302,0.107317597,0.104111172,5.084
Mauritia_flexuosa,30.63415913,24.33145654,1.304122317,3.983343286,16.8
Neodypsis_decaryi,78.09117622,13.63464487,1.580316476,156.5633449,136.1734317
Phytelephas_seemannii,34.99393575,14.84260524,1.469776233,7.411631919,14.84919997
Pseudophoenix_sargentii,31.71855533,33.90154748,6.013700795,50.97911872,1749.028333
Rhopalostylis_sapida,142.7587071,61.63984378,1.92599882,2.678185043,327.0634422
Sabal_yapa,88.02893684,61.7764341,0.625629332,0.889361525,39.59210789
Thrinax_radiata,58.49745391,74.06167915,2.30410543,1205.704271,514.525
Acacia_bilimekii,35.60647711,18.27467621,1.131174211,1826.952529,10.33899229
Ambrosia_deltoidea,35.86348716,7.937565969,0.392415412,0.158237172,0.024215714
Ardisia_elliptica,34.71628412,12.88826711,5.212998253,942.9377983,33.87718621
Atriplex_acanthocarpa,4.379918956,2.38121547,0.69407103,3.675894745,2.133421515
Atriplex_canescens,11.2007758,2.447178003,0.997739667,4.094124592,1.022316705
Atriplex_vesicaria,42.52780206,2.097150659,0.231865202,0.463130685,0.240970852
Banksia_ericifolia,10.05893097,4.720348205,2.098845745,98.32821163,19.85648511
Betula_nana,19.06618981,2.986292875,0.486374054,0.259540896,0.097205291
Cassia_nemophila,17.98201218,2,6.350061931,510.823666,19.26653009
Clidemia_hirta,15.25191068,4.010536879,1.448218802,2374.745691,2.723394673
Cytisus_scoparius,12.49039025,2.434000143,6.209116641,41.07783785,138.735788
Fumana_procumbens,8.92660844,4.198625724,0.822693704,0.76103758,0.494885182
Gardenia_actinocarpa,9.499311445,4.598542363,2.966332953,3.56098521,112.7507297
Helianthemum_juliae,8.831321905,3.066115702,0.907521063,6.994249316,0.909028716
Lantana_camara,8.581006391,2.111111111,11.07707719,836846.8304,3690.289444
Lonicera_maackii,10.93534366,8.148175726,7.250709586,322.5708476,157.82
Lupinus_arboreus,6.259994003,1,5.198206354,8.149637817,378.6741554
Miconia_albicans,34.98757123,7.80713448,10.56629054,377.061289,1041.627892
Paliurus_ramosissimus,1.756586721,1,0.707980768,2.619090409,0.792992543
Petrophile_pulchella,13.47127515,5.571428571,4.786839334,806.9944553,20.51205898
Purshia_subintegra,10.13614023,7.3554329,9.812263743,260.1085952,160396.3709
