SpeciesAuthor,SpeciesAccepted,Family,Kingdom,Authors,Journal,StudyDuration,YearPublication,MatrixStartYear,MatrixEndYear,AnnualPeriodicity,MatrixPopulation,EcoRegion,MatrixComposite,Lat,Lon,MatDim,lambda,habitat,TACmodeled,note,envStochModeled,invasive
Alaria_nana,Alaria nana,Alariaceae,Chromalveolata,Pfister; Wang,Ecology,5,2005,1997,2001,5,Tatoosh Island,TCF,Mean,48.4,-123.2666667,6,1.004584108,Aquatic,yes,samePop,yes,no
Alaria_nana,Alaria nana,Alariaceae,Chromalveolata,Pfister; Wang,Ecology,5,2005,1997,1997,5,Tatoosh Island,TCF,Individual,48.4,-123.2666667,6,1.003992503,Aquatic,yes,samePop,yes,no
Alaria_nana,Alaria nana,Alariaceae,Chromalveolata,Pfister; Wang,Ecology,5,2005,2001,2001,5,Tatoosh Island,TCF,Individual,48.4,-123.2666667,6,1.003841844,Aquatic,yes,samePop,yes,no
Ascophyllum_nodosum_3,Ascophyllum nodosum,Aspleniaceae,Chromalveolata,Aberg,Mar Ecol Prog Ser,4,1990,1985,1988,2,Tj�_rn�_,TBM,Mean,58.86666667,11,5,1.05104825,Aquatic,no,samePop,yes,no
Ascophyllum_nodosum_3,Ascophyllum nodosum,Aspleniaceae,Chromalveolata,Aberg,Mar Ecol Prog Ser,4,1990,1985,1988,2,Tj�_rn�_,TBM,Mean,58.86666667,11,5,1.198940932,Aquatic,no,samePop,yes,no
Ascophyllum_nodosum_3,Ascophyllum nodosum,Aspleniaceae,Chromalveolata,Aberg,Mar Ecol Prog Ser,4,1990,1985,1988,2,Tj�_rn�_,TBM,Mean,58.86666667,11,5,0.732871529,Aquatic,no,samePop,yes,no
Ascophyllum_nodosum_3,Ascophyllum nodosum,Aspleniaceae,Chromalveolata,Aberg,Mar Ecol Prog Ser,4,1990,1985,1988,2,Tj�_rn�_,TBM,Mean,58.86666667,11,5,0.331834253,Aquatic,no,samePop,yes,no
Ascophyllum_nodosum_3,Ascophyllum nodosum,Aspleniaceae,Chromalveolata,Aberg,Mar Ecol Prog Ser,4,1990,1985,1988,2,G�_teborg,TBM,Mean,57.63333333,11.75,5,1.063710415,Aquatic,no,samePop,yes,no
Ascophyllum_nodosum_3,Ascophyllum nodosum,Aspleniaceae,Chromalveolata,Aberg,Mar Ecol Prog Ser,4,1990,1985,1988,2,G�_teborg,TBM,Mean,57.63333333,11.75,5,1.357143368,Aquatic,no,samePop,yes,no
Ascophyllum_nodosum_3,Ascophyllum nodosum,Aspleniaceae,Chromalveolata,Aberg,Mar Ecol Prog Ser,4,1990,1985,1988,2,G�_teborg,TBM,Mean,57.63333333,11.75,5,0.644155945,Aquatic,no,samePop,yes,no
Ascophyllum_nodosum_3,Ascophyllum nodosum,Aspleniaceae,Chromalveolata,Aberg,Mar Ecol Prog Ser,4,1990,1985,1988,2,G�_teborg,TBM,Mean,57.63333333,11.75,5,0.410454681,Aquatic,no,samePop,yes,no
Pterygophora_californica,Pterygophora californica,Alariaceae,Chromalveolata,de Wreede,Phycol,3,1986,1981,1983,1,Diana Island Site 1; Diana Island Site 2; Wizard Rock Site 3,POE,Mean,NA,NA,12,48.7439582,Aquatic,no,samePop,no,no
Pterygophora_californica,Pterygophora californica,Alariaceae,Chromalveolata,de Wreede,Phycol,3,1986,1981,1983,1,Diana Island Site 1,POE,Mean,48.83333333,-124.8,12,0,Aquatic,no,samePop,no,no
Pterygophora_californica,Pterygophora californica,Alariaceae,Chromalveolata,de Wreede,Phycol,3,1986,1981,1982,1,Diana Island Site 1,POE,Individual,48.83333333,-124.8,12,0,Aquatic,no,samePop,no,no
Pterygophora_californica,Pterygophora californica,Alariaceae,Chromalveolata,de Wreede,Phycol,3,1986,1982,1983,1,Diana Island Site 1,POE,Individual,48.83333333,-124.8,12,0,Aquatic,no,samePop,no,no
Pterygophora_californica,Pterygophora californica,Alariaceae,Chromalveolata,de Wreede,Phycol,3,1986,1981,1983,1,Diana Island Site 2,POE,Mean,48.83333333,-124.8,12,46.85372123,Aquatic,no,samePop,no,no
Pterygophora_californica,Pterygophora californica,Alariaceae,Chromalveolata,de Wreede,Phycol,3,1986,1981,1982,1,Diana Island Site 2,POE,Individual,48.83333333,-124.8,12,53.36249059,Aquatic,no,samePop,no,no
Pterygophora_californica,Pterygophora californica,Alariaceae,Chromalveolata,de Wreede,Phycol,3,1986,1982,1983,1,Diana Island Site 2,POE,Individual,48.83333333,-124.8,12,0,Aquatic,no,samePop,no,no
Pterygophora_californica,Pterygophora californica,Alariaceae,Chromalveolata,de Wreede,Phycol,3,1986,1981,1983,1,Wizard Rock Site 3,POE,Mean,48.85,-124.85,12,43.32070059,Aquatic,no,samePop,no,no
Pterygophora_californica,Pterygophora californica,Alariaceae,Chromalveolata,de Wreede,Phycol,3,1986,1981,1982,1,Wizard Rock Site 3,POE,Individual,48.85,-124.85,12,39.36338872,Aquatic,no,samePop,no,no
Pterygophora_californica,Pterygophora californica,Alariaceae,Chromalveolata,de Wreede,Phycol,3,1986,1982,1983,1,Wizard Rock Site 3,POE,Individual,48.85,-124.85,12,0,Aquatic,no,samePop,no,no
Aeschynomene_virginica,Aeschynomene virginica,Leguminosae,Plantae,Griffith; Forseth,Ecol Appl,3,2005,1998,2000,1,1; 2; 3,NA,Mean,37.53333333,-75.03333333,5,0.46629707,Temperate,no,samePop,no,no
Aeschynomene_virginica,Aeschynomene virginica,Leguminosae,Plantae,Griffith; Forseth,Ecol Appl,3,2005,1998,1999,1,1; 2; 3,NA,Mean,37.53333333,-75.03333333,5,0.853183147,Temperate,no,samePop,no,no
Aeschynomene_virginica,Aeschynomene virginica,Leguminosae,Plantae,Griffith; Forseth,Ecol Appl,3,2005,1999,2000,1,1; 2; 3,NA,Mean,37.53333333,-75.03333333,5,0.086775263,Temperate,no,samePop,no,no
Brassica_napus_2,Brassica napus,Brassicaceae,Plantae,Garnier; Lecomte,Ecol Model,NA,2006,NA,NA,1,NA,NA,Mean,NA,NA,5,238.0613328,Temperate,no,samePop,yes,no
Collinsia_verna,Collinsia verna,Plantaginaceae,Plantae,Kalisz; McPeek,Ecology,3,1992,1982,1984,1,Illinois,NA,Mean,NA,NA,7,0.713135584,Temperate,yes,samePop,yes,no
Collinsia_verna,Collinsia verna,Plantaginaceae,Plantae,Kalisz; McPeek,Ecology,3,1992,1982,1983,1,Illinois,NA,Individual,NA,NA,7,1.028720768,Temperate,yes,samePop,yes,no
Collinsia_verna,Collinsia verna,Plantaginaceae,Plantae,Kalisz; McPeek,Ecology,3,1992,1983,1984,1,Illinois,NA,Individual,NA,NA,7,0.408811514,Temperate,yes,samePop,yes,no
Catopsis_compacta,Catopsis compacta,Bromeliaceae,Plantae,del Castillo; Trujillo-Argueta; Rivera-Garcia; G�_mez-Ocampo; Mondrag�_n-Chaparro,Ecol and Evol,4,2013,2005,2008,1,Santa Catarina,TSC,Mean,17.26536944,-95.43806667,5,1.04754266,Tropical & Subtropical,no,samePop,yes,no
Catopsis_compacta,Catopsis compacta,Bromeliaceae,Plantae,del Castillo; Trujillo-Argueta; Rivera-Garcia; G�_mez-Ocampo; Mondrag�_n-Chaparro,Ecol and Evol,4,2013,2005,2006,1,Santa Catarina,TSC,Individual,17.26536944,-95.43806667,5,1.061569085,Tropical & Subtropical,no,samePop,yes,no
Catopsis_compacta,Catopsis compacta,Bromeliaceae,Plantae,del Castillo; Trujillo-Argueta; Rivera-Garcia; G�_mez-Ocampo; Mondrag�_n-Chaparro,Ecol and Evol,4,2013,2006,2007,1,Santa Catarina,TSC,Individual,17.26536944,-95.43806667,5,0.935405007,Tropical & Subtropical,no,samePop,yes,no
Catopsis_compacta,Catopsis compacta,Bromeliaceae,Plantae,del Castillo; Trujillo-Argueta; Rivera-Garcia; G�_mez-Ocampo; Mondrag�_n-Chaparro,Ecol and Evol,4,2013,2007,2008,1,Santa Catarina,TSC,Individual,17.26536944,-95.43806667,5,1.05603069,Tropical & Subtropical,no,samePop,yes,no
Catopsis_sessiliflora,Catopsis sessiliflora,Bromeliaceae,Plantae,Winkler; H�_lber; Hietz,Bas and Appl Ecol,3,2007,2002,2004,1,"Santuario Bosque de Niebla, Xalapa, Veracruz",TMB,Pooled,19.51666667,-95.41666667,5,0.822112262,Tropical & Subtropical,no,samePop,no,no
Catopsis_sessiliflora,Catopsis sessiliflora,Bromeliaceae,Plantae,Winkler; H�_lber; Hietz,Bas and Appl Ecol,3,2007,2002,2003,1,"Santuario Bosque de Niebla, Xalapa, Veracruz",TMB,Individual,19.51666667,-95.41666667,5,0.827267119,Tropical & Subtropical,no,samePop,no,no
Catopsis_sessiliflora,Catopsis sessiliflora,Bromeliaceae,Plantae,Winkler; H�_lber; Hietz,Bas and Appl Ecol,3,2007,2003,2004,1,"Santuario Bosque de Niebla, Xalapa, Veracruz",TMB,Individual,19.51666667,-95.41666667,5,0.786420807,Tropical & Subtropical,no,samePop,no,no
Guarianthe_aurantiaca,Guarianthe aurantiaca,Orchidaceae,Plantae,Mondragon,Plant Spp Biol,3,2009,2004,2006,1,Santo Domingo,TMB,Mean,15.03333333,-95.9,5,0.986866428,Tropical & Subtropical,no,samePop,yes,no
Guarianthe_aurantiaca,Guarianthe aurantiaca,Orchidaceae,Plantae,Mondragon,Plant Spp Biol,3,2009,2004,2005,1,Santo Domingo,TMB,Mean,15.03333333,-95.9,5,0.985050896,Tropical & Subtropical,no,samePop,yes,no
Guarianthe_aurantiaca,Guarianthe aurantiaca,Orchidaceae,Plantae,Mondragon,Plant Spp Biol,3,2009,2005,2006,1,Santo Domingo,TMB,Mean,15.03333333,-95.9,5,0.989502508,Tropical & Subtropical,no,samePop,yes,no
