species,TACmodeled,envStochModeled,note,invasive
Alaria_nana,yes,yes,samePop,no
Ascophyllum_nodosum_3,no,yes,samePop,no
Fucus_distichus,no,no,samePop,no
Pterygophora_californica,no,no,samePop,no
Aeschynomene_virginica,no,no,samePop,no
Brassica_napus_2,no,yes,samePop,no
Collinsia_verna,yes,yes,samePop,no
Catopsis_compacta,no,yes,samePop,no
Catopsis_sessiliflora,no,no,samePop,no
Guarianthe_aurantiaca,no,yes,samePop,no
Jacquiniella_leucomelana,no,yes,samePop,no
Jacquiniella_teretifolia,no,yes,samePop,no
Lepanthes_eltoroensis,no,no,samePop,no
Lepanthes_rubripetala,no,no,samePop,no
Lycaste_aromatica,no,yes,samePop,no
Tillandsia_deppeana,no,no,samePop,no
Tillandsia_juncea,no,no,samePop,no
Tillandsia_multicaulis_2,no,no,samePop,no
Tillandsia_punctulata,no,no,samePop,no
Tillandsia_recurvata,no,no,samePop,no
Tillandsia_violacea,no,no,samePop,no
Vulpicida_pinastri,no,yes,samePop,no
Werauhia_sanguinolenta,no,yes,samePop,no
Asplenium_adulterinum,no,yes,samePop,no
Asplenium_cuneifolium,no,yes,samePop,no
Actaea_elata,no,no,samePop,no
Actaea_spicata,no,no,samePop,no
Agrimonia_eupatoria,no,no,samePop,no
Agropyron_cristatum,no,yes,samePop,no
Anemone_patens,no,yes,samePop,no
Anthyllis_vulneraria_subsp._alpicola,no,yes,samePop,no
Antirrhinum_lopesianum,no,no,samePop,no
Aquilegia_chrysantha,no,no,samePop,no
Arabis_fecunda,no,no,samePop,no
Arisaema_serratum,no,no,samePop,no
Armeria_maritima,no,yes,samePop,no
Armeria_merinoi,no,no,samePop,no
Artemisia_genipi,no,no,samePop,no
Asclepias_meadii,yes,yes,differentPop,no
Astragalus_michauxii,yes,no,samePop,no
Astragalus_peckii,no,no,samePop,no
Astragalus_scaphoides_2,no,no,samePop,no
Astragalus_tremolsianus,no,no,samePop,no
Astragalus_tyghensis,no,no,samePop,no
Borderea_chouardii,no,yes,samePop,no
Bothriochloa_ischaemum,no,yes,samePop,no
Braya_fernaldii,no,no,samePop,no
Braya_longii,no,no,samePop,no
Calathea_micans,no,yes,samePop,no
Calathea_ovandensis,yes,yes,differentPop,no
Calochortus_albus,no,no,samePop,no
Calochortus_lyallii,no,yes,samePop,no
Calochortus_macrocarpus,no,yes,samePop,no
Calochortus_pulchellus,no,no,samePop,no
Carex_bigelowii,no,no,samePop,no
Carlina_vulgaris_2,no,yes,samePop,no
Centaurea_horrida,no,yes,samePop,no
Centaurea_stoebe_2,no,no,samePop,no
Cimicifuga_elata,no,no,samePop,no
Cimicifuga_rubifolia,no,no,samePop,no
Cirsium_palustre,no,yes,samePop,no
Cirsium_perplexans,no,no,samePop,no
Cirsium_pitcheri_8,no,yes,samePop,no
Cirsium_scariosum,no,no,samePop,no
Cirsium_undulatum_var._tracyi,no,no,samePop,no
Cirsium_vulgare,no,yes,samePop,no
Cirsium_vulgare_3,no,yes,samePop,no
Cleistes_divaricata_var._bifaria,NA,NA,samePop,no
Cleistes_divaricata_var._divaricata,NA,NA,samePop,no
Cochlearia_bavarica,no,no,samePop,no
Cochlearia_pyrenaica,no,no,samePop,no
Cryptantha_flava,no,yes,samePop,no
Cynoglossum_officinale,no,no,samePop,no
Cypripedium_calceolus,yes,yes,differentPop,no
